ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,Actual_County,Inferred_County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms,Watersources,Actual_Latitude_Scotia,Actual_Longitude_Scotia,Inferred_Latitude_Scotia,Inferred_Longitude_Scotia,Dates_Of_Recording
56394,275,,,37.9005556,-120.0708333,"37°54'02""N, 120°04'15""W in SE&NE's sec. 35, T.1 N., R.17 E., Stanislaus National Forest, on right bank 300 ft upstream from Forest Service road bridge, 1.7 mi downstream from Quilty Creek, and 6 mi north of Buck Meadows Post Office","[""SE&NE's sec. 35"", 'T.1 N.', 'R.17 E.']",CLAVEY RIVER,Tuolumne County,,10/01/1959-Current Year,Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Gage_Height': 'feet (ft)'}",Stream Discharge,"['Clavey River', 'stream discharge', 'gauge height', 'precipitation']",,,,,,
15,266,,,41.064444,-121.480556,"200 ft upstream from highway bridge, 0.5 mile east of Glenburn Post Office, and 3 miles downstream from Tule River","['NW1 sec. 11, T. 37 N., R. 4 E.']",Fall River near Glenburn,Shasta County,,1922-01-01-1922-12-31,Monthly,"cubic feet per second (cfs) for discharge, acre-feet for runoff",Stream Discharge,"['stream discharge', 'irrigation', 'gauge height']",,,,,,
15,266,,,41.008333,-121.444444,"300 ft upstream from highway bridge at Fall River Mills and 1,000 ft upstream from mouth","['NW sec. 31, T. 37 N., R. 5 E.']",Fall River at Fall River Mills,Shasta County,,1912-01-01-1922-12-31,Monthly,"cubic feet per second (cfs) for discharge, acre-feet for runoff",Stream Discharge,"['stream discharge', 'irrigation', 'gage height']",,,,,,
70038672,268,,,34.983333,-119.775,"34°59'00"" N, 119°46'30"" W in Cuyama Grant, at culvert on State Highway 166, 5.8 miles northwest of New Cuyama",[],Aliso Canyon Creek near New Cuyama,Santa Barbara County,Santa Barbara County,1960-01-01 to 1964-09-30,Annual maximum from Water year 1960-63 and monthly from October 1963 to September 1964,"{'Discharge': 'cfs (cubic feet per second)', 'Precipitation': 'inches', 'Acre-feet': 'acre-ft'}",Stream Discharge,"['Gage', 'Crest-stage gage', 'Discharge']",,,,,,
70038672,268,,,35.022222,-120.219444,"35°01'20"" N, 120°13'10"" W in SW1 sec. 14, T.11 N., R. 32 W.","['T.11 N., R. 32 W.']","Cuyama River below Buckhorn Canyon, near Santa Maria",,Santa Barbara County,1903-10-01 to 1964-09-30,October 1903 to December 1905 and October 1959 to September 1964,"{'Discharge': 'cfs (cubic feet per second)', 'Acre-feet': 'acre-ft'}",Stream Discharge,"['Gage', 'Average discharge', 'Maximum discharge']",,,,,,
70038672,268,,,35.048611,-120.301389,"35°02'55"" N, 120°18'05"" W in Huasna Grant, on right bank 3.2 miles upstream from mouth and 10 miles east of Nipomo",[],Alamo Creek near Nipomo,San Luis Obispo County,San Luis Obispo County,1959-03-01 to 1964-09-30,Monthly from March 1959 to September 1964,"{'Discharge': 'cfs (cubic feet per second)', 'Acre-feet': 'acre-ft'}",Stream Discharge,"['Gage', 'Average discharge', 'Maximum discharge']",,,,,,
3048,257,,,37.168333,-121.648056,"near southeast corner of La Laguna Seca Grant, on right bank 1.2 miles downstream from Anderson Dam and 1.8 miles northeast of Madrone",[],Coyote Creek near Madrone,Santa Clara County,,10/01/1957-09/30/1958,Daily measurements from October 1957 to September 1958,"{'Latitude_Longitude': 'degrees, minutes, seconds', 'Discharge': 'cubic feet per second (cfs)', 'Acres_Foot_Per_Year': 'acre-ft'}",Stream Discharge,"['stream discharge', 'Coyote Creek', 'water-stage recorder']",,,,,,
38998,34,36.8,-118.3,,,"White Mountains, California",[],Rain Water,Inyo County,,07/30/1966-06/29/1967,"July 30, 1966 - June 29, 1967",weight percent (where noted),Precipitation,"['Rain', 'Snow', 'Chemical Composition']",,,,,,
38998,34,36.8,-118.3,,,"White Mountains, California",[],Soil Water Extracts,,Inyo County,,,weight percent (where noted),Precipitation,"['Soil Water', 'Chemical Weathering']",,,,,,
38998,34,36.8,-118.3,,,"White Mountains, California",[],Spring Waters,,Inyo County,,,weight percent (where noted),Springs,"['Spring Waters', 'Chemical Composition']",,,,,,
1744,107,37.619,-122.073,37.619,-122.073,"Sunol, California",[],Alameda Creek,Contra Costa County,Contra Costa County,10/01/1901-09/30/1914,Monthly,"{'Discharge': 'second-feet', 'Run-off': 'acre-feet'}",Stream Discharge,"['discharge', 'second-feet', 'run-off', 'acre-feet']",,,,,,
56403,293,,,32.834722,-116.622222,"On right bank at Japatul Valley Road bridge (revised), 0.7 mi downstream from unnamed tributary, and 1.3 mi south of Descanso.","['NW&SE14 sec.25, T.15 S. R.3 E.']","SWEETWATER RIVER NEAR DESCANSO, CA",San Diego County,,"October 1905 to September 1927, October 1956 to current year",Monthly,"{'Discharge': 'cubic feet per second (ft3/s)', 'Area': 'square miles (mi2) and square kilometers (km2)', 'Volume': 'acre-feet/yr (ac-ft/yr) and hectometer cube/year (hm3/yr)'}",Stream Discharge,"['river', 'discharge', 'diversion', 'flow']",,,,,,
70038682,385,,,37.2691667,-122.0599999,"Lat 37°16'09"" long 122°03'36"", in NE&NE's sec. 3, T.8 S., R.2 W., Santa Clara County, on right bank at upstream side of culvert on Mt. Eden Road, 750 ft (229 m) upstream from mouth, and 1.8 mi (2.9 km) northwest of Saratoga Post Office.","['T.8 S., R.2 W., sec. 3']",CALABAZAS CREEK TRIBUTARY AT MT. EDEN ROAD,Santa Clara County,Santa Clara County,10/1973-09/1974,Daily,"Cubic feet per second (ft³/s), inches (in)",Stream Discharge,"['Discharge', 'Cubic feet per second', 'Gage height']",,,,,,
658,389,,,41.0167,-121.9167,"Big Bend, Calif.","['T. 37 N., R. 1 E., sec. 31']",Pit River at Big Bend,,Siskiyou,11/01/1910-09/30/1953,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet'}",Stream Discharge,"['discharge', 'gage height', 'water-stage recorder', 'stream flow']",,,,,,
2246,539,,,34.435,-119.699,"Near Santa Barbara, Calif.",[],Santa Ynez River,Santa Barbara County,,10/01/1913-03/31/1915,Daily,second-feet,Stream Discharge,"['Discharge', 'Santa Ynez River', 'second-feet']",,,,,,
70038403,277,38.5808,-121.4944,,,"Central Valley, California",[],Inferred Stream,,Sacramento County,12/28/1966-04/21/1967,Daily,Cubic feet per second (cfs),Stream Discharge,"['Flow rate', 'Discharge']",,,,,,
4538,131,,,34.480555,-119.3016667,"SW1 sec. 28, T. 5 N., R. 23 W., 0.1 mile southeast of Matilija","['T. 5 N., R. 23 W., SW1 sec. 28']",Matilija Creek at Matilija,Ventura County,,10/01/1927-09/30/1941,daily,"{'Discharge': 'second-feet', 'Runoff': 'acre-feet'}",Stream Discharge,"['water-stage recorder', 'discharge', 'gage height', 'drainage area']",,,,,,
2294,296,38.5802,-121.4944,,,California,[],Well and Equipment,,Sacramento County,1885-01-01 to 1904-12-31,,"['inches', 'Bored']",Groundwater,"['Bored', 'Well']",,,,,,
70038668,272,,,35.0788889,-120.3708333,"Huasna Grant, on right bank 300 ft downstream from mouth of Huasna Creek and 12 miles southeast of Arroyo Grande, San Luis Obispo County",[],Huasna River near Arroyo Grande,San Luis Obispo County,,06/1959-09/1962,Daily,cubic feet per second (cfs),Stream Discharge,"['Huasna River', 'stream discharge', 'water-year', 'gage height']",,,,,,
70038402,115,,,36.2112,-119.2994,"Near Three Rivers, California",[],East Fork Kaweah River near Three Rivers,Tulare County,,10/01/1966-09/30/1967,Daily,cubic feet per second,Stream Discharge,"['Combined discharge', 'East Fork Kaweah River', 'conduit']",,,,,,
56419,289,,,34.404167,-119.518611,"Pueblo Lands of Santa Barbara, Santa Barbara County, on right bank 300 ft downstream from Malibu Drive bridge, 0.5 mile north of Carpinteria.",[],FRANKLIN CREEK AT CARPINTERIA,Santa Barbara County,,10/01/1970-09/30/1971,Daily,Cubic Feet Per Second (cfs),Stream Discharge,"['stream', 'discharge', 'gage height']",,,,,,
70038669,110,,,33.0742,-116.8765,"Near Descanso, California",[],"Sweetwater River near Descanso, Calif.",San Diego County,,10/01/1962-09/30/1963,Daily,cubic feet per second (cfs),Stream Discharge,"['discharge', 'cubic feet per second', 'Sweetwater River', 'Descanso']",,,,,,
1627,351,37.0256,-120.8289,37.0256,-120.8289,"Near Los Banos, California",[],Salt Slough near Los Banos,Merced County,Merced County,10/01/1961-09/30/1962,Daily,Cubic Feet Per Second (cfs),Stream Discharge,"['Discharge', 'Cubic Feet Per Second']",,,,,,
3995,50,,,37.946111,-121.795556,California,[],Del Puerto Creek,Contra Costa County,,,,,Stream Discharge,['Creek'],,,,,,
3995,50,,,37.655556,-120.916389,California,[],Delta-Mendota Canal,San Joaquin County,,,,,Irrigation,['Canal'],,,,,,
3995,50,,,39.383889,-123.003056,California,[],Devil Canyon Creek,Mendocino County,,,,,Stream Discharge,['Creek'],,,,,,
3995,50,,,36.416389,-118.733889,California,[],Dinkey Creek,Tulare County,,,,,Stream Discharge,['Creek'],,,,,,
3995,50,,,38.337222,-122.065833,California,[],Dog Creek,Solano County,,,,,Stream Discharge,['Creek'],,,,,,
3995,50,,,37.821944,-120.296111,California,[],Don Pedro Reservoir,Tuolumne County,,,,,Reservoir,['Reservoir'],,,,,,
3995,50,,,38.581389,-122.465556,California,[],Dona Creek,Napa County,,,,,Stream Discharge,['Creek'],,,,,,
3995,50,,,37.333056,-120.365556,California,[],Donnells Lake,Merced County,,,,,Reservoir,['Lake'],,,,,,
3995,50,,,37.333056,-120.365556,California,[],Donnells Reservoir,Merced County,,,,,Reservoir,['Reservoir'],,,,,,
3995,50,,,36.875278,-119.500556,California,[],Dorst Creek,Fresno County,,,,,Stream Discharge,['Creek'],,,,,,
3995,50,,,41.833056,-123.166389,California,[],Downie River,Siskiyou County,,,,,Stream Discharge,['River'],,,,,,
47988,133,,,33.862222,-117.024722,"SW1/2 sec. 31, T. 3 S., R. 1 W., at culvert on State Highway 79, 5.6 miles northeast of Lakeview.","['[T. 3 S., R. 1 W., SW1/2 sec. 31]']","Laborde Creek near San Jacinto, Calif.",Riverside,,11/21/1961-12/4/1966,Annual,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",Stream Discharge,"['Gage', 'Discharge']",,,,,,
47988,133,,,33.622944,-116.935556,"N 3 sec. 25, T. 6 S., R. 1 W., at culvert on State Highway 79, 2.8 miles north of Sage.","['[T. 6 S., R. 1 W., N 3 sec. 25]']","St. Johns Creek near Sage, Calif.",Riverside,,11/17/1961-12/21/1970,Annual,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",Stream Discharge,"['Gage', 'Discharge']",,,,,,
47988,133,,,33.725,-117.368583,"NE1 sec. 23, T. 5 S., R. 5 W., at culvert on State Highway 71, 4.7 miles northwest of Elsinore.","['[T. 5 S., R. 5 W., NE1 sec. 23]']","Temescal Creek tributary near Elsinore, Calif.",Riverside,,12/15/1961-12/21/1970,Annual,{'Gage_Height': 'ft'},Stream Discharge,"['Gage', 'No flow']",,,,,,
47988,133,,,33.258333,-116.7975,"SE&amp;SW1 sec. 32, T. 10 S., R. 2 E., at culvert on State Highway 76, 0.6 mile north of San Luis Rey Camp and 2.5 miles northwest of dam at Lake Henshaw.","['[T. 10 S., R. 2 E., SE&amp;SW1 sec. 32]']","Wigham Creek near Lake Henshaw, Calif.",San Diego,,01/06/1965-04/18/1971,Annual,"{'Gage_Height': 'ft', 'Discharge': 'cfs'}",Stream Discharge,"['Gage', 'Discharge']",,,,,,
56850,105,32.8462,-114.9337,,,Arizona/California border near Imperial County,[],Colorado River Below Laguna Dam,,"Imperial County, CA",10/01/1977-09/30/1978,daily,"{'Water Quality': ['MG/L', 'Mg/L as K', 'Tons per ac-ft'], 'Specific Conductance': 'microhm/cm at 25 deg. C'}",Stream Discharge,"['Potassium', 'Bicarbonate', 'Calcium', 'Sulfate', 'Chloride', 'Fluoride', 'Silica', 'Residue']",,,,,,
4537,21,,,32.58888889,-116.52638889,"State highway about 31 miles southwest of Campo, Calif.","['T. 18 S., R. 4 E., sec. 24']",Campo Creek near Campo,Imperial County,,10/01/1936-09/30/1937,Daily,second-feet,Stream Discharge,"['stream discharge', 'water-stage recorder', 'maximum discharge', 'second-feet']",,,,,,
2251,434,,,,,California,,Bubbs Creek mouth,Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,Chiquita San Joaquin mouth,Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,"Chowchilla Creek near Buchanan, Cal.",Unknown,Unknown,,['monthly'],,Stream Discharge,"['description', 'discharge', 'monthly']",,,,,,
2251,434,,,,,California,,Chowchilla Creek near San Joaquin River below,Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,Bull Run Creek near mouth,Unknown,Unknown,,"['daily', 'monthly']",,Stream Discharge,"['discharge', 'gage heights']",,,,,,
2251,434,,,,,California,,"Calaveras River near Bellota, Cal.",Unknown,Unknown,,['monthly'],,Stream Discharge,"['description', 'discharge']",,,,,,
2251,434,,,,,California,,"Calaveras River near Jenny Lind, Cal.",Unknown,Unknown,,"['daily', 'monthly']",,Stream Discharge,"['description', 'discharge', 'gage heights']",,,,,,
2251,434,,,,,California,,"Caliente Creek at foothills, Cal.",Unknown,Unknown,,['monthly'],,Stream Discharge,"['description', 'discharge']",,,,,,
2251,434,,,,,California,,Caliente Creek near mouth,Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,"Camp Tabeaud canal near, Cal.",Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,"Carmelita canal near, Cal.",Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,Cascade Creek,Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,"Cascadel Creek near Cascadel ranch, Cal.",Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,"Cascadel Creek near North Fork, Cal.",Unknown,Unknown,,,,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,Cherry River near Eleanor Creek mouth,Unknown,Unknown,,['monthly'],,Stream Discharge,['discharge'],,,,,,
2251,434,,,,,California,,"Cherry River at Eleanor trail crossing, Cal.",Unknown,Unknown,,['monthly'],,Stream Discharge,"['description', 'discharge', 'gage heights']",,,,,,
2251,434,,,,,California,,"Corral Creek near Groveland, Cal.",Unknown,Unknown,,,,Stream Discharge,"['description', 'discharge']",,,,,,
3048,333,,,37.144444,-119.45,"near Auberry, Calif.","['SW1 sec. 15', 'T. 9 S.', 'R. 23 E.']",San Joaquin River above Willow Creek,Fresno County,,03/01/1951-09/30/1958,Daily,cubic feet per second (cfs),Stream Discharge,"['Discharge', 'Stream', 'Gage height', 'Flow regulated', 'Powerplants', 'Reservoirs']",,,,,,
2248,188,39.4572,-120.6988,,,"At footbridge 11 miles west of Sierra City, in the Tahoe National Forest, 21/2 miles below junction of North and South forks of North Fork of Yuba River",[],"North Fork of Yuba River near Sierra City, Cal.",Sierra County,,11/01/1911-12/31/1911,Daily,feet (gage height),Stream Discharge,"['gage height', 'discharge measurements']",,,,,,
2248,188,39.7451,-120.8989,,,"Highway bridge at Goodyear Bar, in the E. 1/2 SW. 1/4 sec. 5, T. 19 N., R. 10 E., in the Tahoe National Forest","['T. 19 N., R. 10 E., Sec. 5']","North Fork of Yuba River at Goodyear Bar, Cal.",Plumas County,,10/31/1910-12/31/1911,Daily,"square miles (for drainage area), feet (gage height)",Stream Discharge,"['gage height', 'discharge measurements', 'drainage area']",,,,,,
22104,110,39.4743,-123.4561,39.4743,-123.4561,Near Blue Lake,[],"Redwood Creek at Highway 299, near Blue Lake",Mendocino,Mendocino,09/03/1974-09/08/1974,5 days,degrees Celsius,Stream Discharge,"['Redwood Creek', 'Highway 299', 'Blue Lake']",,,,,,
22104,110,39.4778,-123.4695,39.4778,-123.4695,Near Blue Lake,[],Minor Creek near Blue Lake,Mendocino,Mendocino,09/04/1974-09/08/1974,4 days,degrees Celsius,Stream Discharge,"['Minor Creek', 'Blue Lake']",,,,,,
22104,110,39.4741,-123.4583,39.4741,-123.4583,Near Blue Lake,[],Redwood Valley Bridge near Blue Lake,Mendocino,Mendocino,09/04/1974-09/08/1974,4 days,degrees Celsius,Stream Discharge,"['Redwood Creek', 'Blue Lake']",,,,,,
22104,110,40.0656,-123.8403,40.0656,-123.8403,Near Orick,[],Lacks Creek near Orick,Mendocino,Mendocino,09/04/1974-09/08/1974,4 days,degrees Celsius,Stream Discharge,"['Lacks Creek', 'Orick']",,,,,,
22104,110,40.0651,-123.8415,40.0651,-123.8415,Near Orick,[],Lacks Creek at mouth near Orick,Mendocino,Mendocino,09/04/1974-09/08/1974,4 days,degrees Celsius,Stream Discharge,"['Lacks Creek', 'Orick']",,,,,,
22104,110,40.0671,-123.8497,40.0671,-123.8497,Near Orick,[],Redwood Creek above Panther Creek near Orick,Mendocino,Mendocino,09/03/1974-09/08/1974,5 days,degrees Celsius,Stream Discharge,"['Redwood Creek', 'Panther Creek', 'Orick']",,,,,,
22104,110,40.0632,-123.839,40.0632,-123.839,Near Orick,[],Devils Creek near Orick,Mendocino,Mendocino,09/03/1974-09/08/1974,5 days,degrees Celsius,Stream Discharge,"['Devils Creek', 'Orick']",,,,,,
22104,110,40.0681,-123.8568,40.0681,-123.8568,Near Orick,[],Copper Creek near Orick,Mendocino,Mendocino,09/03/1974-09/08/1974,5 days,degrees Celsius,Stream Discharge,"['Copper Creek', 'Orick']",,,,,,
22104,110,40.0691,-123.8522,40.0691,-123.8522,Near Orick,[],Redwood Creek at Harry Wier Creek near Orick,Mendocino,Mendocino,09/11/1974-09/16/1974,5 days,degrees Celsius,Stream Discharge,"['Redwood Creek', 'Harry Wier Creek', 'Orick']",,,,,,
22104,110,40.0704,-123.8541,40.0704,-123.8541,Near Orick,[],Harry Wier Creek near Orick,Mendocino,Mendocino,09/11/1974-09/16/1974,5 days,degrees Celsius,Stream Discharge,"['Harry Wier Creek', 'Orick']",,,,,,
22104,110,40.0728,-123.8502,40.0728,-123.8502,Near Orick,[],Miller Creek near Orick,Mendocino,Mendocino,09/12/1974-09/16/1974,4 days,degrees Celsius,Stream Discharge,"['Miller Creek', 'Orick']",,,,,,
22104,110,40.0719,-123.8514,40.0719,-123.8514,Near Orick,[],Miller Creek at mouth near Orick,Mendocino,Mendocino,09/11/1974-09/16/1974,5 days,degrees Celsius,Stream Discharge,"['Miller Creek', 'Orick']",,,,,,
22104,110,40.0772,-123.8439,40.0772,-123.8439,Near Orick,[],Hayes Creek near CLICK,Mendocino,Mendocino,09/10/1974-09/16/1974,6 days,degrees Celsius,Stream Discharge,['Hayes Creek'],,,,,,
22104,110,40.0791,-123.8442,40.0791,-123.8442,Near Orick,[],"Little Lost Man Creek at Site No. ?, near Orick",Mendocino,Mendocino,09/11/1974-09/16/1974,5 days,degrees Celsius,Stream Discharge,"['Little Lost Man Creek', 'Orick']",,,,,,
22104,110,40.0796,-123.8431,40.0796,-123.8431,Near Orick,[],Little Lost Man Creek near Orick,Mendocino,Mendocino,09/11/1974-09/16/1974,5 days,degrees Celsius,Stream Discharge,"['Little Lost Man Creek', 'Orick']",,,,,,
1627,235,,,37.273611,-118.973611,"Florence Lake, Calif.","['T.8 S. R.27 E., NW1 sec. 1']",Ward Tunnel Intake at Florence Lake,Fresno County,,04/1925-09/1965,Monthly,"{'Discharge': 'cubic feet per second (cfs)', 'Volume': 'acre-feet'}",Stream Discharge,"['Ward tunnel', 'Florence Lake', 'stream discharge', 'monthly discharge', 'water-stage recorder', 'Venturi meter']",,,,,,
3106,190,,,39.292222,-121.103611,"Near North San Juan, California","['T.17 N., R.8 E., sec.32']",North Yuba River Below New Bullards Bar Dam,Nevada County,,10/01/1967-09/30/1968,Daily,"{'Temperature': 'Celsius (°C)', 'Discharge': 'cubic feet per second (CFS)', 'Concentration': 'milligrams per liter (MG/L)', 'Suspended-Sediment Discharge': 'tons/day'}",Stream Discharge,"['Temperature', 'Discharge', 'Concentration', 'Suspended-Sediment Discharge']",,,,,,
3106,190,,,39.292222,-121.103611,"Near Grass Valley, California","['L4 39°17\'32"" N., long 121°06\'13"", sec.32, T.17 N., R.8 E.']",South Yuba River at Jones Bar,Nevada County,,02/01/1965-09/30/1968,"{'Water_Temperature_Record': 'February 1965 to September 1968', 'Sediment_Record': 'October 1966 to September 196S'}",{'Temperature': 'Celsius (°C)'},Stream Discharge,"['Temperature', 'Discharge']",,,,,,
3067,502,,,39.0167,-122.55,"NE sec. 31, T. 14 N., R. 6 W.","['T. 14 N., R. 6 W., NE sec. 31']",North Fork Cache Creek near Lower Lake,Lake County,,07/01/1930-09/16/1956,Daily,"{'Latitude_Longitude': 'degrees', 'Discharge': 'cubic feet per second (cfs)', 'Gage_Height': 'feet', 'Area': 'square miles, acre-feet'}",Stream Discharge,"['Drainage area', 'Gage -Water-stage recorder', 'Average discharge', 'Extremes Maximum discharge', 'Records of chemical analyses']",,,,,,
56042,9,37.9967,-120.7264,,,Northern San Joaquin Valley,[],Groundwater Pumped for Municipal Use,,San Joaquin County,Not Specified,Annual,acre-feet per capita,Groundwater,"['ground water', 'municipal use', 'per capita use factor', 'pumpage']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"Marshall Davis, 10-inch well",Calaveras County,Calaveras County,11/06/1925-08/23/1926,1 month to 1 year,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"Marshall Davis, 4-foot well",Calaveras County,Calaveras County,11/06/1925-06/10/1927,1 month to 1 year,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"Frank Breitenbucker, 4-foot well",Calaveras County,Calaveras County,06/08/1926-04/16/1929,1 month to 1 year,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"C, D. Mohrmann, 3-foot well",Calaveras County,Calaveras County,06/10/1926-04/16/1929,1 month to 1 year,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"5-foot well, not in use",Calaveras County,Calaveras County,11/06/1925-03/20/1928,1 month to 1 year,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"William McPherson, 8-inch well",Calaveras County,Calaveras County,11/04/1926-09/29/1928,1 year to 2 years,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
2749,359,,,,,"Mokelumne Area, California",[],"Joe Strmiska, 6-inch well",Calaveras County,Calaveras County,04/28/1926-06/20/1929,1 month to 1 year,feet,Groundwater,"['observation wells', 'depth to water']",,,,,,
1640,689,,,37.1143,-121.6974,"near Morgan Hill, Calif",[],Llagas Creek,Santa Clara County,,,,,Stream Discharge,"['Llagas Creek', 'near Morgan Hill']",,,,,,
1640,689,,,37.3333,-121.7833,Calif,[],Loch Lomond Reservoir,Santa Clara County,,,,,Reservoir,['Loch Lomond Reservoir'],,,,,,
1640,689,,,36.7462,-121.1531,"near Lockwood, Calif",[],"Lockwood, San Antonio River near",San Benito County,,,,,Stream Discharge,"['San Antonio River', 'near Lockwood']",,,,,,
1640,689,,,38.1121,-122.9025,"near Longvale, Calif",[],"Longvale, Outlet Creek near",Marin County,,,,,Stream Discharge,"['Outlet Creek', 'near Longvale']",,,,,,
1640,689,,,35.1278,-120.6581,"near Arroyo Grande, Calif",[],"Lopez Creek (tributary to Arroyo Grande) near Arroyo Grande, Calif",San Luis Obispo County,,,,,Stream Discharge,"['Lopez Creek', 'tributary to Arroyo Grande']",,,,,,
1640,689,,,37.3333,-121.7833,Calif,[],Loch Lomond Reservoir,Santa Clara County,,,,,Reservoir,['Loch Lomond Reservoir'],,,,,,
1640,689,,,35.05,-120.4739,"near Nipomo, Calif",[],"Los Berros Creek near Nipomo, Calif",San Luis Obispo County,,,,,Stream Discharge,"['Los Berros Creek', 'near Nipomo']",,,,,,
1640,689,,,37.2341,-121.9536,"near Los Gatos, Calif",[],"Los Gatos, Lake Elsman near",Santa Clara County,,,,,Reservoir,"['Lake Elsman', 'near Los Gatos']",,,,,,
1640,689,,,34.8789,-119.8,Calif,[],"Los Padres Reservoir, Calif",Santa Barbara County,,,,,Reservoir,['Los Padres Reservoir'],,,,,,
1640,689,,,37.3333,-121.7833,Calif,[],"Loch Lomond Reservoir, Calif",Santa Clara County,,,,,Reservoir,['Loch Lomond Reservoir'],,,,,,
1640,689,,,37.2315,-121.9756,"at Los Gatos, Calif",[],"Los Gatos Creek at Los Gatos, Calif",Santa Clara County,,,,,Stream Discharge,"['Los Gatos Creek', 'at Los Gatos']",,,,,,
3174,381,,,40.788889,-123.438889,"40°47'20""N, 123°26'20""W, S sec.19, T.5 N., R.7 E.","['T.5 N.', 'R.7 E.', 'S sec.19']",Trinity River near Burnt Ranch,Trinity County,,10/01/1969-09/30/1970,Daily,°C,Stream Discharge,"['water temperatures', 'Trinity River', 'daily measurements']",,,,,,
70038398,348,,,37.261111,-122.328889,"near Pescadero, Calif.","['T.8 S., R.4 W., SW1 sec.5']",Pescadero Creek,San Mateo County,,04/01/1951-09/30/1966,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Temperature_Datum': 'feet above mean sea level'}",Stream Discharge,"['discharge', 'cubic feet per second', 'water-stage recorder']",,,,,,
70038403,313,,,38.8894,-123.1853,"Near Ukiah, California",[],LAKE MENDOCINO NEAR UKIAH,Mendocino County,,10/01/1963-09/30/1967,Daily to Monthly (varies),"{'Suspended Sediment': 'ppm', 'Turbidity': 'ppm silica'}",Reservoir,"['suspended-sediment', 'turbidity', 'concentration', 'ppm silica']",,,,,,
573,42,,,33.326111,-117.329167,"100 feet upstream from point of discharge into O'Neill Reservoir, 6 miles northeast of Ysidora, San Diego County, Calif.",[],O'Neill Ditch near Ysidora,San Diego County,San Diego County,10/01/1930-09/30/1944,Daily,Second-feet,Stream Discharge,"['Santa Margarita River Basin', 'Discharge', ""O'Neill Ditch"", 'Reservoir', 'Precipitation']",,,,,,
70232920,22,38.0,,38.0,,Near Dry Auglaize Creek junction,[],Wet Glaize Creek,,Near Niangua-Osage Fork-Grandglaize area,Unknown,Unknown,,Springs,"['Springs', 'Wet Glaize Creek']",,,,,,
70232920,22,,,,,"Tributary of Osage Fork, interrupted stream",[],Steins Creek,,Near Niangua-Osage Fork-Grandglaize area,07/02/1976-07/02/1976,"July 2, 1976",m3/s,Stream Discharge,"['Streamflow', 'Steins Creek', 'streamflow measurements']",,,,,,
56845,390,38.403333,-120.44625,38.403333,-120.44625,"38°24'12"" N, 120°26'45"" W in SW4NW14 sec. 4, T.6 N., R.14 E.","['T.6 N., R.14 E., SW4NW14 sec. 4']",Forest Creek,Calaveras County,Calaveras County,07/01/1960-Current Year,Daily,"{'Discharge': 'cubic feet per second (ft3/s) and cubic meters per second (m3/s)', 'Gage Height': 'feet (ft) and meters (m)'}",Stream Discharge,"['Discharge', 'Gage height', 'Cubic feet per second']",,,,,,
2246,101,32.8675,-116.915,,,"{""Cuyamaca Water Co.'s Flume"": 'SE. 1/4 sec. 11, T. 14 S., R. 2 E.', 'Near Lakeside': '13 miles northeast of Lakeside'}","['T. 14 S., R. 2 E., SE. 1/4 sec. 11']",Boulder Creek at mouth near Lakeside,San Diego County,San Diego County,1912-08-12 to 1916-01-31,Daily,Second-feet (for discharge),Stream Discharge,"['Boulder Creek', 'discharge', 'second-feet']",,,,,,
